Owner,IpStart,IpEnd,Maintainer,LastSeenOn
"ASN-TELSTRA-GLOBAL Telstra Global","146.101.126.0","146.101.127.255","","07/01/2025 00:32:35"
"Versatel CDN","213.138.35.1","213.138.35.254","VT-MNT","09/02/2026 00:03:45"
"","95.169.185.1","95.169.185.254","KEYWEB-MNT","09/02/2026 00:21:10"
"VT-DYNAMICPOOL West","92.117.128.1","92.117.159.254","VT-MNT","09/02/2026 00:03:48"
"TELSTRAEUROPELTD-BACKBONE Telstra Europe Ltd","146.101.128.0","146.101.254.255","","07/01/2025 00:32:35"
"","62.141.59.1","62.141.59.254","KEYWEB-MNT","09/02/2026 00:21:09"
"VT-DYNAMICPOOL OST","46.142.0.1","46.142.31.254","VT-MNT","09/02/2026 00:03:45"
"","217.114.209.1","217.114.209.254","KEYWEB-MNT","09/02/2026 00:21:09"
"ASN-TELSTRA-GLOBAL Telstra Global","146.101.255.0","146.101.255.255","","07/01/2025 00:32:35"
"VT-DYNAMICPOOL South","94.134.144.1","94.134.159.254","VT-MNT","09/02/2026 00:03:48"
"","95.169.186.1","95.169.186.254","KEYWEB-MNT","09/02/2026 00:21:10"
"NEXUS AG","194.156.233.1","194.156.233.254","VT-MNT","09/02/2026 00:03:44"
"US-FXCAPITAL","146.103.0.0","146.103.0.255","","09/01/2026 00:38:07"
"VT-DYNAMICPOOL 5G Customer","61.8.128.1","61.8.131.254","VT-MNT","03/06/2025 15:28:20"
"CESNET2","146.102.0.0","146.102.255.255","","09/01/2026 00:38:07"
"","217.114.213.1","217.114.213.254","KEYWEB-MNT","09/02/2026 00:21:09"
"LEASEWEB-NL-AMS-01 Netherlands","146.103.1.0","146.103.1.255","","09/01/2026 00:38:07"
"UK2NET-AS","146.103.2.0","146.103.3.255","","09/01/2026 00:38:07"
"VT-POOL6-stu1903aihr001","94.134.160.1","94.134.167.254","VT-MNT","09/02/2026 00:03:48"
"","217.114.210.1","217.114.210.254","KEYWEB-MNT","09/02/2026 00:21:09"
"VT-DYNAMICPOOL South","89.246.160.1","89.246.167.254","VT-MNT","09/02/2026 00:03:47"
"","95.169.187.1","95.169.187.254","KEYWEB-MNT","09/02/2026 00:21:10"
"HVC-AS","146.103.4.0","146.103.4.255","","09/01/2026 00:38:07"
"TIER-NET","146.103.5.0","146.103.5.255","","09/01/2026 00:38:07"
"Versatel Deutschland","62.72.64.1","62.72.95.254","VT-ENGI-MNT","09/02/2026 00:03:43"
"","217.114.214.1","217.114.214.254","KEYWEB-MNT","09/02/2026 00:21:09"
"VT-POOL2- ber023ibr001","94.134.168.1","94.134.171.254","VT-MNT","09/02/2026 00:03:48"
"LEASEWEB-NL-AMS-01 Netherlands","146.103.6.0","146.103.6.255","","09/01/2026 00:38:07"
"VELIANET-AS velia.net Internetdienste GmbH","146.103.8.0","146.103.9.255","","09/01/2026 00:38:07"
"IOMART-AS","146.103.7.0","146.103.7.255","","09/01/2026 00:38:07"
"","217.114.216.1","217.114.216.254","KEYWEB-MNT","09/02/2026 00:21:09"
"VT-DYNAMICPOOL Nord","89.244.192.1","89.244.223.254","VT-MNT","09/02/2026 00:03:46"
"OVH","146.103.10.0","146.103.10.255","","09/01/2026 00:38:07"
"RELIABLESITE","146.103.11.0","146.103.11.255","","09/01/2026 00:38:07"
"Keyweb AG IP Network","95.169.188.1","95.169.189.254","KEYWEB-MNT","09/02/2026 00:21:10"
"TELNYX","146.103.12.0","146.103.13.255","","11/01/2025 00:35:27"
"1und1 Mobilfunk","202.71.137.1","202.71.137.254","VT-MNT","09/02/2026 00:03:45"
"Tribal DDB GmbH","91.208.212.1","91.208.212.254","VT-ENGI-MNT","06/02/2025 00:51:33"
"VT-DYNAMICPOOL West","89.244.224.1","89.244.255.254","VT-MNT","12/02/2025 00:04:23"
"GCNL-AS-AP GLOBAL COMMUNICATION NETWORK LIMITED","146.103.16.0","146.103.17.255","","09/01/2026 00:38:07"
"Not routed","146.103.14.0","146.103.15.255","","02/01/2026 00:40:42"
"IDNIC-PANDAWANETWORK-AS-ID PDWNet","146.103.18.0","146.103.18.255","","09/01/2026 00:38:07"
"","87.118.108.1","87.118.108.254","KEYWEB-MNT","09/02/2026 00:21:09"
"","84.19.181.1","84.19.181.254","KEYWEB-MNT","09/02/2026 00:21:09"
"HVC-AS","146.103.19.0","146.103.19.255","","09/01/2026 00:38:07"
"","87.118.85.1","87.118.85.254","KEYWEB-MNT","09/02/2026 00:21:10"
"NODEHUBLLC","146.103.22.0","146.103.22.255","","09/01/2026 00:38:07"
"IOMART-AS","146.103.23.0","146.103.23.255","","09/01/2026 00:38:07"
"VT-DYNAMICPOOL RMS","92.117.160.1","92.117.191.254","VT-MNT","09/02/2026 00:03:48"
"IOMART-AS","146.103.20.0","146.103.21.255","","09/01/2026 00:38:07"
"","87.118.84.1","87.118.84.254","KEYWEB-MNT","09/02/2026 00:21:10"
"Alte Leipziger Lebensversicherung a.G.","91.217.145.1","91.217.145.254","ARCOR-MNT","09/02/2026 01:15:32"
"NODEHUBLLC","146.103.24.0","146.103.24.255","","09/01/2026 00:38:07"
"BALTNETA Customers AS","146.103.25.0","146.103.25.255","","09/01/2026 00:38:07"
"","87.118.109.1","87.118.109.254","KEYWEB-MNT","09/02/2026 00:21:09"
"EKIPHOST EKIPHOST BILISIM TEKNOLOJILERI SAN. TIC. LTD. STI.","146.103.26.0","146.103.26.255","","09/01/2026 00:38:07"
"VT-DYNAMICPOOL West","46.142.128.1","46.142.159.254","VT-MNT","09/02/2026 00:03:45"
"MOACKCOLTD-AS-AP MOACK.Co.LTD","146.103.27.0","146.103.27.255","","09/01/2026 00:38:07"
